run_id,variant,task_name,m,dtype,seed,adam_steps_config,lbfgs_steps_config,resample_every,lbfgs_lr,n_collocation,hard_bc,bc_weight,final_loss,final_l2_error,best_l2_error,best_step,l2_ratio,time_sec,log_dir
92,resample_100_soft,helmholtz1d,10,fp64,1,5000,1500,100,0.03,5000,False,1.0,0.059820985675453776,1.1259841711509877,0.9143782203786253,4900,1.231420593859662,297.98834252357483,/kaggle/working/runs/overnight_r092_m10_resample_100_soft_fp64_s1
93,more_points_soft,helmholtz1d,10,fp32,0,5000,1000,200,0.03,10000,False,1.0,0.07164739817380905,0.9252485632896423,0.8750854730606079,4000,1.05732364640175,93.0705189704895,/kaggle/working/runs/overnight_r093_m10_more_points_soft_fp32_s0
94,more_points_soft,helmholtz1d,10,fp32,1,5000,1000,200,0.03,10000,False,1.0,0.00015272136079147458,1.0280530452728271,0.7046611905097961,4900,1.4589324048470287,106.39883208274841,/kaggle/working/runs/overnight_r094_m10_more_points_soft_fp32_s1
95,more_points_soft,helmholtz1d,10,fp64,0,5000,1000,200,0.03,10000,False,1.0,0.0012644260937179207,3.2761687226673715,0.8893789187132829,5000,3.6836590723414027,518.5506641864777,/kaggle/working/runs/overnight_r095_m10_more_points_soft_fp64_s0
96,more_points_soft,helmholtz1d,10,fp64,1,5000,1000,200,0.03,10000,False,1.0,0.0615745441795765,1.4308671935948358,0.858370551159921,3900,1.6669574598770855,507.0087904930115,/kaggle/working/runs/overnight_r096_m10_more_points_soft_fp64_s1
97,base_2k,helmholtz1d,11,fp32,0,2000,1500,0,0.1,5000,False,1.0,0.49999499320983887,1.0166317224502563,0.9997513890266418,100,1.0168845311033268,47.487239837646484,/kaggle/working/runs/overnight_r097_m11_base_2k_fp32_s0
98,base_2k,helmholtz1d,11,fp32,1,2000,1500,0,0.1,5000,False,1.0,0.5042700171470642,1.0239543914794922,1.000325083732605,200,1.0236216287396462,47.8520827293396,/kaggle/working/runs/overnight_r098_m11_base_2k_fp32_s1
99,base_2k,helmholtz1d,11,fp64,0,2000,1500,0,0.1,5000,False,1.0,0.0027897745024505582,8.094161303309997,0.911248342730892,2800,8.882497694374791,207.19029307365417,/kaggle/working/runs/overnight_r099_m11_base_2k_fp64_s0
100,base_2k,helmholtz1d,11,fp64,1,2000,1500,0,0.1,5000,False,1.0,0.4966610857436429,1.0451986518318876,1.0000165678089437,900,1.0451813354672101,186.57889413833618,/kaggle/working/runs/overnight_r100_m11_base_2k_fp64_s1
101,resample_2k,helmholtz1d,11,fp32,0,2000,1500,200,0.1,5000,False,1.0,0.49416667222976685,1.0004689693450928,0.9997513890266418,100,1.000717758761155,47.881505250930786,/kaggle/working/runs/overnight_r101_m11_resample_2k_fp32_s0
102,resample_2k,helmholtz1d,11,fp32,1,2000,1500,200,0.1,5000,False,1.0,0.5014714598655701,1.0355145931243896,1.000028371810913,400,1.0354852145336797,48.86043834686279,/kaggle/working/runs/overnight_r102_m11_resample_2k_fp32_s1
103,resample_2k,helmholtz1d,11,fp64,0,2000,1500,200,0.1,5000,False,1.0,0.10024015029776252,4.955729759401132,0.9703243240439257,1800,5.107292104919748,206.6353142261505,/kaggle/working/runs/overnight_r103_m11_resample_2k_fp64_s0
104,resample_2k,helmholtz1d,11,fp64,1,2000,1500,200,0.1,5000,False,1.0,0.5008861545956392,1.0006982495690442,1.0000301757530952,1200,1.0006680536569268,186.01868081092834,/kaggle/working/runs/overnight_r104_m11_resample_2k_fp64_s1
105,resample_5k,helmholtz1d,11,fp32,0,5000,1500,200,0.1,5000,False,1.0,0.18588872253894806,1.4445278644561768,0.9004508852958679,4700,1.6042272688549108,72.6035885810852,/kaggle/working/runs/overnight_r105_m11_resample_5k_fp32_s0
106,resample_5k,helmholtz1d,11,fp32,1,5000,1500,200,0.1,5000,False,1.0,0.1939702183008194,1.5217832326889038,0.8938377499580383,4500,1.7025273689328344,72.55149531364441,/kaggle/working/runs/overnight_r106_m11_resample_5k_fp32_s1
