variant,m,dtype,best_l2_median,best_l2_min,final_l2_median,ok_1e_2,ok_5e_2,time_median
soft_lbfgs,9,fp32,0.00805676868185401,0.0033658454194664955,0.00805676868185401,0.5,1.0,96.50609350204468
soft_lbfgs,9,fp64,0.7737521724714718,0.6353126044504966,3.6139973093076834,0.0,0.0,299.23665153980255
soft_lbfgs,10,fp32,0.4684511683881283,0.04766320437192917,0.5194831788539886,0.0,0.5,83.93940341472626
soft_lbfgs,10,fp64,0.025462110616578364,0.006476902982855186,0.03887708799488743,0.5,1.0,317.58760702610016
soft_lbfgs,11,fp32,0.8971443176269531,0.8938377499580383,1.4831555485725403,0.0,0.0,75.81445932388306
soft_lbfgs,11,fp64,0.8430182004375846,0.7648315825262401,5.102517755315294,0.0,0.0,308.7423447370529
soft_lbfgs,12,fp32,0.9644711315631866,0.9289563298225403,1.9029625058174133,0.0,0.0,85.18785655498505
soft_lbfgs,12,fp64,0.884125422801223,0.8043486496789253,5.553851676956786,0.0,0.0,317.0208942890167
softer_lbfgs,8,fp32,0.4168632044456899,0.010754051618278027,1.2424990846775472,0.0,0.5,90.10975444316864
softer_lbfgs,8,fp64,0.8357008852020027,0.8333270916880886,1.5133343338671517,0.0,0.0,299.1987473964691
softer_lbfgs,9,fp32,0.018840676173567772,0.01612040400505066,0.02160931285470724,0.0,1.0,98.84955883026123
softer_lbfgs,9,fp64,0.3321231518911039,0.0289336993317112,2.105842733682293,0.0,0.5,310.1181640625
softer_lbfgs,10,fp32,0.845535010099411,0.8018308877944946,1.564326286315918,0.0,0.0,85.68388485908508
softer_lbfgs,10,fp64,0.07365927038022305,0.05373871293817627,0.16715665346891279,0.0,0.0,318.7401658296585
softer_lbfgs,11,fp32,0.8971443176269531,0.8938377499580383,1.4832175374031067,0.0,0.0,74.91498470306396
softer_lbfgs,11,fp64,0.8430182004375846,0.7648315825262401,2.114101317622786,0.0,0.0,309.03247475624084
softer_lbfgs,12,fp32,0.9644711315631866,0.9289563298225403,1.1970441341400146,0.0,0.0,85.35603928565979
softer_lbfgs,12,fp64,0.8841473372247735,0.8043924785260261,3.327086099447701,0.0,0.0,317.0420391559601
