task_name,variant,main_parameter_name,main_parameter_value,dtype,n_total,n_valid,n_bad,seed_list,best_l2_mean,best_l2_median,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,final_l2_median,final_l2_std,final_l2_min,final_l2_max,bad_rate
burgers1d,burgers_hard_nu_0p01,nu,0.01,fp32,2,2,0,"0,1",0.0416142791509628,0.0416142791509628,0.0015815288802349522,0.0404959693551063,0.0427325889468193,0.0493039395660162,0.0493039395660162,6.413960089948492e-05,0.04925858601927757,0.04934929311275482,0.0
burgers1d,burgers_hard_nu_0p01,nu,0.01,fp64,2,2,0,"0,1",0.04260087026889425,0.04260087026889425,0.0017265524740931102,0.0413800133063886,0.0438217272313999,0.04941392417231251,0.04941392417231251,1.492147554125921e-05,0.04940337309577198,0.049424475248853045,0.0
burgers1d,burgers_main,nu,0.001,fp32,2,2,2,"0,1",0.25809021294116974,0.25809021294116974,0.07318465176471092,0.2063408493995666,0.3098395764827728,0.25947022438049316,0.25947022438049316,0.07513628265843207,0.20634084939956665,0.3125995993614197,1.0
burgers1d,burgers_main,nu,0.001,fp64,2,2,2,"0,1",0.2530033896767759,0.2530033896767759,0.021603686539552757,0.2377272764260296,0.2682795029275222,0.2547229556510158,0.2547229556510158,0.019232701652769545,0.24112338189180474,0.2683225294102269,1.0
burgers1d,burgers_main,nu,0.002,fp32,2,2,1,"0,1",0.1577947568148374,0.1577947568148374,0.1551765012892545,0.0480684004724025,0.2675211131572723,0.1585552804172039,0.1585552804172039,0.15410095849628302,0.04958944767713547,0.26752111315727234,0.5
burgers1d,burgers_main,nu,0.002,fp64,2,2,1,"0,1",0.2784619062602394,0.2784619062602394,0.1354233604222072,0.1827031297746268,0.3742206827458521,0.28062800368521146,0.28062800368521146,0.1382027389326983,0.1829039098073464,0.3783520975630765,0.5
burgers1d,burgers_main_nu0p001,nu,,fp16,2,0,2,"0,1",,,,,,,,,,,1.0
burgers1d,burgers_main_nu0p002,nu,,fp16,2,0,2,"0,1",,,,,,,,,,,1.0
burgers1d,burgers_more_points,nu,0.001,fp16,2,0,2,"0,1",,,,,,,,,,,1.0
burgers1d,burgers_more_points,nu,0.001,fp32,2,2,0,"0,1",0.09484540857374665,0.09484540857374665,0.07646429561069593,0.0407769866287708,0.1489138305187225,0.09619902446866035,0.09619902446866035,0.07809966445572548,0.040974222123622894,0.15142382681369781,0.0
burgers1d,burgers_more_points,nu,0.001,fp64,2,2,0,"0,1",0.1699690994922754,0.1699690994922754,0.009587856224777772,0.1631894613386934,0.1767487376458574,0.17199977352653492,0.17199977352653492,0.006716049464769146,0.16725080940721238,0.17674873764585747,0.0
burgers1d,burgers_more_points,nu,0.002,fp16,2,0,2,"0,1",,,,,,,,,,,1.0
burgers1d,burgers_more_points,nu,0.002,fp32,2,2,0,"0,1",0.048778716474771444,0.048778716474771444,0.0022310592309923694,0.0472011193633079,0.050356313586235,0.05046572536230087,0.05046572536230087,0.0001269515760708767,0.050375957041978836,0.05055549368262291,0.0
