source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r02_m8_fp64_adam0,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r02_m8_fp64_adam0/summary.json,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r02_m8_fp64_adam0/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,0.9998590890430962,2967304.82426884,13194114309006.55,128.0,4.0,5000.0,0.0,2.0,0.0,1500.0,,,,True,True
experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r04_m8_fp64_adam500,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r04_m8_fp64_adam500/summary.json,experiments_raw/results_exp_7_helmholtz1d_lbfgs_warmup/runs/helmholtz_lbfgs_r04_m8_fp64_adam500/metrics.csv,helmholtz1d,helmholtz_m8,fp64,0,m,8.0,1.01204815394529,7.217639649334995,199374.88883403747,128.0,4.0,5000.0,0.0,2.0,500.0,1500.0,,,,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r012_m8_resample_5k_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r012_m8_resample_5k_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r012_m8_resample_5k_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp64,1,m,8.0,0.8380746787159169,1.9369559290459486,0.0005385502376464534,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r020_m8_softer_lbfgs_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r020_m8_softer_lbfgs_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r020_m8_softer_lbfgs_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp64,1,m,8.0,0.8380746787159169,1.9365540211792955,0.0005283205369004862,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r016_m8_soft_lbfgs_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r016_m8_soft_lbfgs_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r016_m8_soft_lbfgs_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp64,1,m,8.0,0.8380746787159169,1.9369559290459486,0.0005385502376464534,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r008_m8_resample_2k_fp64_s1,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r008_m8_resample_2k_fp64_s1/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r008_m8_resample_2k_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp64,1,m,8.0,1.0041296372441544,1.141842731384254,0.3149014105438694,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m8_resample_wide_256_fp64_s1,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m8_resample_wide_256_fp64_s1/summary.json,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m8_resample_wide_256_fp64_s1/metrics.csv,helmholtz1d,helmholtz_m8,fp64,1,m,8.0,0.9980026600753076,1.000008642639736,0.5045886632977774,256.0,3.0,5000.0,0.0,2.0,8000.0,2000.0,,1.0,200.0,True,True
experiments_raw/final/final/runs/run017_helmholtz1d_helmholtz_main_m8_fp16_s0,experiments_raw/final/final/runs/run017_helmholtz1d_helmholtz_main_m8_fp16_s0/summary.json,experiments_raw/final/final/runs/run017_helmholtz1d_helmholtz_main_m8_fp16_s0/metrics.csv,helmholtz1d,helmholtz_main,fp16,0,m,8.0,,,,,,,,,,,,,,False,True
experiments_raw/final/final/runs/run018_helmholtz1d_helmholtz_main_m8_fp16_s1,experiments_raw/final/final/runs/run018_helmholtz1d_helmholtz_main_m8_fp16_s1/summary.json,experiments_raw/final/final/runs/run018_helmholtz1d_helmholtz_main_m8_fp16_s1/metrics.csv,helmholtz1d,helmholtz_main,fp16,1,m,8.0,,,,,,,,,,,,,,False,True
experiments_raw/final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0,experiments_raw/final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0/summary.json,experiments_raw/final/final/runs/run013_helmholtz1d_helmholtz_main_m8_fp32_s0/metrics.csv,helmholtz1d,helmholtz_main,fp32,0,m,8.0,0.999987244606018,1.0000067949295044,0.5016414523124695,128.0,4.0,4000.0,0.0,256.0,2000.0,3000.0,,0.3,500.0,True,True
