task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
helmholtz1d,m,9.0,base_2k,2,2,0.5,0.5036407802253962,0.5036407802253962,0.0075856037437915,0.9996959567070008,2,2,0.5,0.5781763795044393,0.5781763795044393,0.1563372631704687,1.00001549583841,1.1479935743997656,1.1479935743997656,unstable_or_seed_sensitive
helmholtz1d,m,9.0,more_points_soft,2,2,0.5,0.3216434005298651,0.3216434005298651,0.0016503102378919,0.6416364908218384,2,2,0.5,0.2982825821384338,0.2982825821384338,0.0033133436255883,0.5932518206512792,0.9273704408268677,0.9273704408268677,unstable_or_seed_sensitive
helmholtz1d,m,9.0,resample_100_soft,2,2,1.0,0.8667227327823639,0.8667227327823639,0.7737687826156616,0.9596766829490662,2,2,0.5,0.38569215246001504,0.38569215246001504,0.0276855118523044,0.7436987930677257,0.4450006188505768,0.4450006188505768,unstable_or_seed_sensitive
helmholtz1d,m,9.0,resample_2k,2,2,1.0,0.9101124703884125,0.9101124703884125,0.8205289840698242,0.9996959567070008,2,2,0.5,0.5010675589562554,0.5010675589562554,0.0021196220741009,1.00001549583841,0.550555645877935,0.550555645877935,unstable_or_seed_sensitive
helmholtz1d,m,9.0,resample_5k,2,2,1.0,0.6637359857559204,0.6637359857559204,0.6435003876686096,0.6839715838432312,2,2,1.0,0.7737521724714718,0.7737521724714718,0.6353126044504966,0.9121917404924468,1.1657529335105363,1.1657529335105363,unstable_or_seed_sensitive
helmholtz1d,m,9.0,soft_lbfgs,2,2,0.0,0.00805676868185395,0.00805676868185395,0.0033658454194664,0.0127476919442415,2,2,1.0,0.7737521724714718,0.7737521724714718,0.6353126044504966,0.9121917404924468,96.03753105313469,96.03753105313469,unstable_or_seed_sensitive
helmholtz1d,m,9.0,softer_lbfgs,2,2,0.0,0.018840676173567703,0.018840676173567703,0.0161204040050506,0.0215609483420848,2,2,0.5,0.3321231518911039,0.3321231518911039,0.0289336993317112,0.6353126044504966,17.627984730030658,17.627984730030658,unstable_or_seed_sensitive
helmholtz1d,m,10.0,adam_only,2,2,1.0,0.5799353420734406,0.5799353420734406,0.5050587058067322,0.6548119783401489,2,2,1.0,0.7162463689923662,0.7162463689923662,0.6185362830621512,0.813956454922581,1.2350452145778412,1.2350452145778412,unstable_or_seed_sensitive
helmholtz1d,m,10.0,base_2k,2,2,1.0,1.0000163614749908,1.0000163614749908,0.9999876618385316,1.0000450611114502,2,2,1.0,0.9888148849943763,0.9888148849943763,0.9737688172987262,1.0038609526900264,0.9887987067890642,0.9887987067890642,unstable_or_seed_sensitive
helmholtz1d,m,10.0,helmholtz,6,6,0.6666666666666666,0.5190091133117676,0.5241148762094477,0.0100820837542414,0.9999887943267822,6,6,0.3333333333333333,0.0598496834833388,0.36142799700684614,0.0063527287590072,0.9999874171388566,0.1153152843529883,0.6895969059699264,unstable_or_seed_sensitive
helmholtz1d,m,10.0,more_points_soft,2,2,1.0,0.789873331785202,0.789873331785202,0.7046611905097961,0.8750854730606079,2,2,1.0,0.873874734936602,0.873874734936602,0.858370551159921,0.8893789187132829,1.106347941842203,1.106347941842203,unstable_or_seed_sensitive
helmholtz1d,m,10.0,resample_100_soft,2,2,0.0,0.038796855602413395,0.038796855602413395,0.0057461159303784,0.0718475952744484,2,2,0.5,0.47243897769932747,0.47243897769932747,0.0304997350200298,0.9143782203786252,12.17724917041831,12.17724917041831,unstable_or_seed_sensitive
helmholtz1d,m,10.0,resample_2k,2,2,1.0,0.7145734429359436,0.7145734429359436,0.5031043291091919,0.9260425567626952,2,2,1.0,0.9841810144416369,0.9841810144416369,0.9640224278720806,1.0043396010111931,1.3772986166375927,1.3772986166375927,unstable_or_seed_sensitive
