case,task_name,param,param_value,variant,fp32_n,fp32_bad_rate,fp32_median,fp32_min,fp32_max,fp64_n,fp64_bad_rate,fp64_median,fp64_min,fp64_max,ratio,result
"Гельмгольц, m=8",helmholtz1d,m,8.0,resample_5k,2,0.5,0.4196427436545491,0.0163131300359964,0.8229723572731018,2,1.0,0.8357008852020027,0.8333270916880886,0.8380746787159169,1.991457967136812,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,softer_lbfgs,2,0.5,0.4168632044456899,0.010754051618278,0.8229723572731018,2,1.0,0.8357008852020027,0.8333270916880886,0.8380746787159169,2.004736508978403,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,soft_lbfgs,2,0.5,0.4143065933603793,0.0056408294476568,0.8229723572731018,2,1.0,0.8357008852020027,0.8333270916880886,0.8380746787159169,2.017107375539831,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,resample_wide_256,3,0.6666666666666666,0.2373065054416656,0.0019152539316564,0.9991311430931092,3,0.6666666666666666,0.9980026600753076,0.0385436640733099,0.9991073065903948,4.205542777758511,нестабильно
"Бюргерс, nu=0.002",burgers1d,nu,0.002,burgers_hard_nu_0p002,2,0.0,0.048669481649994795,0.0475541055202484,0.0497848577797412,2,1.0,0.2603688687630654,0.2024989783181624,0.3182387592079684,5.3497358084785205,нестабильно
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_100_soft,2,0.0,0.038796855602413395,0.0057461159303784,0.0718475952744484,2,0.5,0.47243897769932747,0.0304997350200298,0.9143782203786252,12.17724917041831,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,softer_lbfgs,2,0.0,0.018840676173567703,0.0161204040050506,0.0215609483420848,2,0.5,0.3321231518911039,0.0289336993317112,0.6353126044504966,17.627984730030658,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,helmholtz_resample_long_m8,2,0.0,0.00324988248758015,0.0031560382340103,0.00334372674115,2,0.5,0.11544944453359139,0.0010758262542644,0.2298230628129184,35.52419048220867,нестабильно
"Гельмгольц, m=8",helmholtz1d,m,8.0,base_2k,2,0.0,0.00531957997009155,0.002597127109766,0.0080420328304171,2,0.5,0.5005469567780806,0.0013316335624289,0.9997622799937324,94.09520292811129,нестабильно
"Гельмгольц, m=9",helmholtz1d,m,9.0,soft_lbfgs,2,0.0,0.00805676868185395,0.0033658454194664,0.0127476919442415,2,1.0,0.7737521724714718,0.6353126044504966,0.9121917404924468,96.03753105313469,нестабильно
"Бюргерс, nu=0.002",burgers1d,nu,0.002,adam5e4_lbfgs05_steps2000_inner5_resample200,1,0.0,0.0470239780843257,0.0470239780843257,0.0470239780843257,0,,,,,,нет пары
