source_path,summary_path,metrics_path,task_name,variant,dtype,seed,main_parameter_name,main_parameter_value,best_l2_error,final_l2_error,final_loss,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,lr_adam,lbfgs_lr,resample_every,is_valid,is_bad
experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m12_resample_wide_256_fp64_s0,experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m12_resample_wide_256_fp64_s0/summary.json,experiments_raw/results_exp_9_helmholtz1d_large_lbfgs/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r008_m12_resample_wide_256_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9992590815203,1.0000014776554678,0.5021591008449703,256.0,3.0,5000.0,0.0,2.0,8000.0,1000.0,,1.0,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r139_m12_resample_5k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r139_m12_resample_5k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r139_m12_resample_5k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9639021959235208,3.7455787078301324,0.0005124151174837868,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r135_m12_resample_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r135_m12_resample_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r135_m12_resample_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,1.000101484613563,1.3579252186758979,0.47489284112684094,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r151_m12_adam_only_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r151_m12_adam_only_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r151_m12_adam_only_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.779629533769944,5.394758311122729,0.001693334217405577,128.0,4.0,5000.0,0.0,2.0,10000.0,0.0,,,200.0,True,False
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r155_m12_resample_100_soft_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r155_m12_resample_100_soft_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r155_m12_resample_100_soft_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9581403976856142,4.290445171512128,0.04127513421190797,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,100.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r147_m12_softer_lbfgs_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r147_m12_softer_lbfgs_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r147_m12_softer_lbfgs_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9639021959235208,5.093181886970939,0.0660406734697138,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r143_m12_soft_lbfgs_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r143_m12_soft_lbfgs_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r143_m12_soft_lbfgs_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9639021959235208,8.16441542017145,0.04585553950873492,128.0,4.0,5000.0,0.0,2.0,5000.0,1500.0,,,200.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r131_m12_base_2k_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r131_m12_base_2k_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r131_m12_base_2k_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,1.000101484613563,8.121797133849155,0.11044422607533638,128.0,4.0,5000.0,0.0,2.0,2000.0,1500.0,,,0.0,True,True
experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r159_m12_more_points_soft_fp64_s0,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r159_m12_more_points_soft_fp64_s0/summary.json,experiments_raw/results_exp_8_helmholtz1d_optimizer/runs/overnight_r159_m12_more_points_soft_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.992731572496514,4.900526886426184,0.08744498046967648,128.0,4.0,10000.0,0.0,2.0,5000.0,1000.0,,,200.0,True,True
experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r023_m12_resample_wide_256_fp64_s0,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r023_m12_resample_wide_256_fp64_s0/summary.json,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r023_m12_resample_wide_256_fp64_s0/metrics.csv,helmholtz1d,helmholtz_m12,fp64,0,m,12.0,0.9992590815203,1.0000014776554678,0.5021591008449703,256.0,3.0,5000.0,0.0,2.0,8000.0,2000.0,,1.0,200.0,True,True
