case,task_name,param,param_value,variant,dtype,n_total,n_bad,n_valid,median_best_l2,mean_best_l2,min_best_l2,max_best_l2,median_final_l2,seeds,bad_rate
"Гельмгольц, m=10",helmholtz1d,m,10.0,resample_wide_256,fp64,2,1,2,0.5009812977420637,0.5009812977420637,0.0030693868074505,0.998893208676677,0.5015362738993197,"0, 1",0.5
"Гельмгольц, m=10",helmholtz1d,m,10.0,soft_lbfgs,fp32,2,1,2,0.4684511683881282,0.4684511683881282,0.0476632043719291,0.8892391324043274,0.5194831788539886,"0, 1",0.5
"Гельмгольц, m=10",helmholtz1d,m,10.0,soft_lbfgs,fp64,2,0,2,0.025462110616578302,0.025462110616578302,0.0064769029828551,0.0444473182503015,0.03887708799488743,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,softer_lbfgs,fp32,2,2,2,0.845535010099411,0.845535010099411,0.8018308877944946,0.8892391324043274,1.564326286315918,"0, 1",1.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,softer_lbfgs,fp64,2,0,2,0.07365927038022299,0.07365927038022299,0.0537387129381762,0.0935798278222698,0.16715665346891279,"0, 1",0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,fp32,1,0,1,0.0020273081026971,0.0020273081026971,0.0020273081026971,0.0020273081026971,0.002027308102697134,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,fp64,1,0,1,0.0031373256013443,0.0031373256013443,0.0031373256013443,0.0031373256013443,0.0031373256013443544,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,fp32,1,0,1,0.0042583378963172,0.0042583378963172,0.0042583378963172,0.0042583378963172,0.004258337896317244,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,fp64,1,0,1,0.0017293850808818,0.0017293850808818,0.0017293850808818,0.0017293850808818,0.004537399129942517,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,fp32,1,0,1,0.000743078882806,0.000743078882806,0.000743078882806,0.000743078882806,0.0020944373682141304,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,fp64,1,0,1,0.0017108366338082,0.0017108366338082,0.0017108366338082,0.0017108366338082,0.0017108366338082774,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,fp32,1,0,1,0.0010800919262692,0.0010800919262692,0.0010800919262692,0.0010800919262692,0.0010800919262692332,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,fp64,1,0,1,0.0004881865048243,0.0004881865048243,0.0004881865048243,0.0004881865048243,0.0008971112197284567,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,fp32,1,0,1,0.0034369314089417,0.0034369314089417,0.0034369314089417,0.0034369314089417,0.0034369314089417458,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,fp64,1,0,1,0.0025258841433677,0.0025258841433677,0.0025258841433677,0.0025258841433677,0.010362561781447194,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,fp32,1,0,1,0.0035879830829799,0.0035879830829799,0.0035879830829799,0.0035879830829799,0.0035879830829799175,0,0.0
"Гельмгольц, m=10",helmholtz1d,m,10.0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,fp64,1,0,1,0.0004545846478039,0.0004545846478039,0.0004545846478039,0.0004545846478039,0.00045458464780399866,0,0.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,adam_only,fp32,2,2,2,0.6959944069385529,0.6959944069385529,0.6743218302726746,0.7176669836044312,3.530282497406006,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,adam_only,fp64,2,2,2,0.6644842815818902,0.6644842815818902,0.5641369806375404,0.7648315825262401,1.966557778111992,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,base_2k,fp32,2,2,2,1.0000382363796234,1.0000382363796234,0.9997513890266418,1.000325083732605,1.0202930569648743,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,base_2k,fp64,2,2,2,0.9556324552699178,0.9556324552699178,0.911248342730892,1.0000165678089437,4.569679977570942,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,helmholtz_rs_m11,fp32,2,0,2,0.0019056165474466498,0.0019056165474466498,0.0011448074365034,0.0026664256583899,0.005371860053855926,"0, 1",0.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,helmholtz_rs_m11,fp64,2,0,2,0.0009833265862458501,0.0009833265862458501,0.0002883292436591,0.0016783239288326,0.001684604435157438,"0, 1",0.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,more_points_soft,fp32,2,2,2,0.8238373398780823,0.8238373398780823,0.6670244336128235,0.9806502461433412,5.717882513999939,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,more_points_soft,fp64,2,2,2,0.91782062059764,0.91782062059764,0.8705080357747348,0.9651332054205454,6.009253845036772,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_100_soft,fp32,2,2,2,0.6195481568574904,0.6195481568574904,0.2863378226757049,0.952758491039276,0.8961133807897568,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_100_soft,fp64,2,2,2,0.9208200545496547,0.9208200545496547,0.8842450899711777,0.9573950191281316,4.094275950690264,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_2k,fp32,2,2,2,0.9998898804187775,0.9998898804187775,0.9997513890266418,1.000028371810913,1.0179917812347412,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_2k,fp64,2,2,2,0.9851772498985103,0.9851772498985103,0.9703243240439255,1.0000301757530952,2.978214004485088,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_5k,fp32,2,2,2,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,1.4831555485725403,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,resample_5k,fp64,2,2,2,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,1.4371208979289198,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,soft_lbfgs,fp32,2,2,2,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,1.4831555485725403,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,soft_lbfgs,fp64,2,2,2,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,5.102517755315294,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,softer_lbfgs,fp32,2,2,2,0.8971443176269531,0.8971443176269531,0.8938377499580383,0.9004508852958679,1.4832175374031067,"0, 1",1.0
"Гельмгольц, m=11",helmholtz1d,m,11.0,softer_lbfgs,fp64,2,2,2,0.8430182004375846,0.8430182004375846,0.7648315825262401,0.9212048183489292,2.114101317622786,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,adam_only,fp32,2,2,2,0.7711652219295502,0.7711652219295502,0.6410113573074341,0.9013190865516664,4.092341780662537,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,adam_only,fp64,2,2,2,0.6354127061250652,0.6354127061250652,0.4911958784801864,0.779629533769944,5.170839020542947,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,base_2k,fp32,2,2,2,1.0001896023750305,1.0001896023750305,1.0000450611114502,1.0003341436386108,1.0239978432655334,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,base_2k,fp64,2,2,2,1.0002138901608468,1.0002138901608468,1.000101484613563,1.0003262957081305,4.935685200086859,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_m12,fp32,4,4,4,0.9988885223865509,0.9988885223865509,0.9977800250053406,0.9999970197677612,4.680277109146118,"0, 1",1.0
"Гельмгольц, m=12",helmholtz1d,m,12.0,helmholtz_m12,fp64,2,2,2,0.9997862233202714,0.9997862233202714,0.9997685303210976,0.9998039163194452,2.5205658119935395,"0, 1",1.0
