task_name,dtype,seed,alpha,hid_size,num_layers,n_collocation,n_ic,n_bc,adam_steps,lbfgs_steps,final_loss,final_l2_error,time_sec,log_dir,source,variant,best_l2_error,elapsed_time,case_name,case_value,run_id,nu,init_gain,adam_steps_config,lr_adam,lbfgs_steps_config,lbfgs_max_iter,lbfgs_max_eval,lbfgs_history_size,lbfgs_tolerance_grad,lbfgs_tolerance_change,resample_every,lbfgs_lr,best_step,l2_ratio,m,lambda_val,point_mode,hard_bc,bc_weight,run_name,adam_name,lbfgs_name,lbfgs_line_search_fn,beta,n_grid,error
helmholtz1d,fp32,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.3834934406986577e-06,0.0034589010756462,171.23013138771057,runs/helmholtz_rs_m10_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0012300387024879,171.23013138771057,m,10.0,,,,,,,,,,,,200.0,,10500.0,2.812026214012708,10.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.25153565742175e-06,0.0020911461693729,158.85188603401184,runs/helmholtz_rs_m10_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0020277565836407,158.85188603401184,m,10.0,,,,,,,,,,,,200.0,,10500.0,1.0312609443577092,10.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 10, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.2296393745746106e-06,0.0039794479330183,159.37508082389832,runs/helmholtz_rs_m10_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0039794479330183,159.37508082389832,m,10.0,,,,,,,,,,,,200.0,,11000.0,1.0,10.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,8.970238809524744e-07,0.0011448074365034,159.89290189743042,runs/helmholtz_rs_m11_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0011448074365034,159.89290189743042,m,11.0,,,,,,,,,,,,200.0,,11000.0,1.0,11.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.4389619309440604e-06,0.0095989126712083,159.13887071609497,runs/helmholtz_rs_m11_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0026664256583899,159.13887071609497,m,11.0,,,,,,,,,,,,200.0,,10400.0,3.599917605430078,11.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,5.510830197137646e-07,0.0016836553939764,159.17224097251892,runs/helmholtz_rs_m11_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0002883292436591,159.17224097251892,m,11.0,,,,,,,,,,,,200.0,,10600.0,5.839350086759301,11.0,1.0,,,,,,,,,,
helmholtz1d,fp64,1,"{'m': 11, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,3.654940713432518e-07,0.0016855534763384,159.3018307685852,runs/helmholtz_rs_m11_fp64_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0016783239288326,159.3018307685852,m,11.0,,,,,,,,,,,,200.0,,10900.0,1.0043075996126622,11.0,1.0,,,,,,,,,,
helmholtz1d,fp32,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,9.185399107991544e-07,0.0053158872760832,161.2284917831421,runs/helmholtz_rs_m12_fp32_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0019692897330969,161.2284917831421,m,12.0,,,,,,,,,,,,200.0,,10900.0,2.699393180567354,12.0,1.0,,,,,,,,,,
helmholtz1d,fp32,1,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,1.3060177934676176e-06,0.0026992599014192,159.5204951763153,runs/helmholtz_rs_m12_fp32_1,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0023505755234509,159.5204951763153,m,12.0,,,,,,,,,,,,200.0,,10500.0,1.148340002050389,12.0,1.0,,,,,,,,,,
helmholtz1d,fp64,0,"{'m': 12, 'lambda_val': 1.0}",128,4,5000,0.0,2.0,10000,1000,6.786523566995884e-07,0.0026630288648884,161.14418697357178,runs/helmholtz_rs_m12_fp64_0,helmholtz_resample_sweep,helmholtz_resample_sweep,0.0006387098016489,161.14418697357178,m,12.0,,,,,,,,,,,,200.0,,10900.0,4.169387815896175,12.0,1.0,,,,,,,,,,
