source,task_name,variant,case_name,case_value,dtype,best_l2_mean,best_l2_std,best_l2_min,best_l2_max,final_l2_mean,elapsed_time_mean,count
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,7.0,fp32,0.00134821725077925,0.00028185211033278324,0.0011489177122712,0.0015475167892873,0.00134821725077925,180.76559722423553,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,7.0,fp64,0.0005143762736539,0.00024629702037782305,0.0003402179803587,0.0006885345669491,0.0006123307090868,162.1159429550171,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,8.0,fp32,0.00253584620077155,0.0016395010471810267,0.0013765438925474,0.0036951485089957,0.0029006302356719502,180.95676386356354,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,8.0,fp64,0.0010388794492335,9.433390856281752e-05,0.0009721753027929,0.0011055835956741,0.0013596944451696,160.20279967784882,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,9.0,fp32,0.0010594721825327,0.0008308237436970809,0.0004719910793937,0.0016469532856717,0.00280199162079945,169.53429782390594,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,9.0,fp64,0.0009256147461689001,0.0005178832331146746,0.0005594160001707,0.0012918134921671,0.0009788113212761,160.1876151561737,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,10.0,fp32,0.001598153845407,0.0005205934276311014,0.0012300387024879,0.0019662689883261,0.00271258503198615,165.1881147623062,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,10.0,fp64,0.0030036022583295003,0.0013800541879280244,0.0020277565836407,0.0039794479330183,0.0030352970511956,159.11348342895508,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,11.0,fp32,0.0019056165474466498,0.001075946563072961,0.0011448074365034,0.0026664256583899,0.00537186005385585,159.5158863067627,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,11.0,fp64,0.0009833265862458501,0.000982874667699442,0.0002883292436591,0.0016783239288326,0.0016846044351573998,159.23703587055206,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,12.0,fp32,0.0021599326282738997,0.00026960976792938585,0.0019692897330969,0.0023505755234509,0.0040075735887512,160.3744934797287,2
helmholtz_resample_sweep,helmholtz1d,helmholtz_resample_sweep,m,12.0,fp64,0.000833988761593,0.0002761661535990586,0.0006387098016489,0.0010292677215371,0.00184614829321275,161.2812647819519,2
